emile.adam-becker@epfl.ch,"The Godfather",01/01/05,3
jacqueline.lebon-pascal@epfl.ch,"12 Angry Men",01/01/05,3
astrid.faivre@epfl.ch,"The Godfather",01/01/10,2
thierry.fabre@epfl.ch,"Seven Samurai",01/01/11,4
remy.lombard@epfl.ch,"Rashomon",01/01/15,2
sabine.le.roux-marion@epfl.ch,"The Good, the Bad and the Ugly",01/02/04,5
bertrand.camus@epfl.ch,"Seven Samurai",01/02/10,3
alexandre.rey@epfl.ch,"Casablanca",01/03/07,4
renee-juliette.bernier@epfl.ch,"Schindler's List",01/03/14,2
vincent.guichard@epfl.ch,"The Night of the Hunter",01/03/16,1
sabine.le.roux-marion@epfl.ch,"12 Angry Men",01/04/12,5
margaux.chretien@epfl.ch,"Bicycle Thieves",01/04/15,1
guillaume.hamel@epfl.ch,"Apocalypse Now",01/05/02,4
adelaide.du.lagarde@epfl.ch,"Spirited Away",01/05/04,1
marianne-elisabeth.gautier@epfl.ch,"Lawrence of Arabia",01/05/15,5
adrien.foucher@epfl.ch,"It's a Wonderful Life",01/06/00,1
michel.langlois.du.alves@epfl.ch,"Psycho",01/06/01,2
emmanuelle.du.nicolas@epfl.ch,"12 Angry Men",01/06/03,1
rene.ferreira@epfl.ch,"The Wages of Fear",01/06/05,5
valerie.de.nicolas@epfl.ch,"Bicycle Thieves",01/06/07,5
thomas.leduc-morvan@epfl.ch,"Ikiru",01/06/08,1
hugues.remy@epfl.ch,"Metropolis",01/07/05,3
thibault.girard@epfl.ch,"Pulp Fiction",01/07/11,2
laurence.perrier-brun@epfl.ch,"City Lights",01/07/11,4
donald.trump@whitehouse.gov,"Pulp Fiction",01/07/13,1
adrienne.adam@epfl.ch,"Goodfellas",01/08/04,1
anastasie.legendre-bouvier@epfl.ch,"The 400 Blows",01/08/11,1
hugues.remy@epfl.ch,"Sunrise",01/08/13,4
aime.remy@epfl.ch,"Rear Window",01/09/02,4
margaux.chretien@epfl.ch,"Star Wars: Episode IV - A New Hope",01/09/04,1
luc.du.carpentier@epfl.ch,"Pulp Fiction",01/09/09,1
adrienne.adam@epfl.ch,"Ikiru",01/09/16,4
sophie.perrier@epfl.ch,"Vertigo",01/10/03,2
frederique.besson@epfl.ch,"Seven Samurai",01/10/08,2
veronique.mathieu@epfl.ch,"Fanny and Alexander",01/10/14,1
eugene.bonnin-delaunay@epfl.ch,"The Shawshank Redemption",01/10/15,2
cecile.faure.de.la.dupuis@epfl.ch,"Vertigo",01/11/01,1
richard.payet@epfl.ch,"The Third Man",01/11/03,3
luc.de.la.letellier@epfl.ch,"12 Angry Men",01/11/05,2
rene.ferreira@epfl.ch,"Casablanca",01/11/05,1
alfred.cohen@epfl.ch,"The Good, the Bad and the Ugly",01/11/12,3
jacqueline.lebon-pascal@epfl.ch,"Star Wars: Episode IV - A New Hope",01/12/00,5
renee-juliette.bernier@epfl.ch,"Vertigo",01/12/08,4
corinne-adrienne.klein@epfl.ch,"The 400 Blows",02/01/06,3
richard.payet@epfl.ch,"All About Eve",02/02/02,3
suzanne.guyot.du.lucas@epfl.ch,"Metropolis",02/02/04,4
arnaude.humbert-hardy@epfl.ch,"Schindler's List",02/02/07,3
eleonore.hebert-petit@epfl.ch,"Star Wars: Episode V - The Empire Strikes Back",02/02/15,5
paul.buisson@epfl.ch,"2001: A Space Odyssey",02/03/01,4
jacques.cohen@epfl.ch,"Singin' in the Rain",02/03/03,4
adrienne.adam@epfl.ch,"North by Northwest",02/03/11,3
stephanie.texier@epfl.ch,"Citizen Kane",02/03/12,4
bertrand.camus@epfl.ch,"Pulp Fiction",02/04/01,2
colette.traore@epfl.ch,"Ikiru",02/04/08,2
clemence-therese.joubert@epfl.ch,"It's a Wonderful Life",02/04/14,3
laurent.dos.santos@epfl.ch,"Double Indemnity",02/05/03,4
robert.aubry@epfl.ch,"Double Indemnity",02/05/10,5
dominique.evrard.le.sauvage@epfl.ch,"Metropolis",02/06/04,5
emmanuelle.jacques@epfl.ch,"The Godfather: Part II",02/06/08,4
marcelle.marty-millet@epfl.ch,"Spirited Away",02/06/09,3
jerome.dufour@epfl.ch,"The Dark Knight",02/06/12,3
paul.buisson@epfl.ch,"Sunset Blvd.",02/06/15,2
gregoire.bousquet.le.hoarau@epfl.ch,"Taxi Driver",02/07/00,3
christophe.raynaud@epfl.ch,"The Godfather: Part II",02/07/04,2
marianne.bertin@epfl.ch,"The Third Man",02/07/12,1
manon.neveu@epfl.ch,"2001: A Space Odyssey",02/08/09,4
robert.regnier@epfl.ch,"The Night of the Hunter",02/08/09,4
ines.maillard@epfl.ch,"Psycho",02/08/11,3
margaux.hubert.le.aubert@epfl.ch,"It's a Wonderful Life",02/08/11,2
sylvie.thierry@epfl.ch,"Star Wars: Episode IV - A New Hope",02/08/15,2
stephane.boyer@epfl.ch,"The 400 Blows",02/08/16,4
suzanne.du.gillet@epfl.ch,"Singin' in the Rain",02/09/03,4
stephanie.texier@epfl.ch,"Schindler's List",02/09/07,5
bernadette.bonneau@epfl.ch,"Once Upon a Time in the West",02/09/08,5
colette.traore@epfl.ch,"Goodfellas",02/09/10,2
christiane.baron@epfl.ch,"Schindler's List",02/10/15,3
remy.lombard@epfl.ch,"Bicycle Thieves",02/11/00,1
renee-juliette.bernier@epfl.ch,"City Lights",02/11/08,2
lucas.le.gall@epfl.ch,"Tokyo Story",02/11/10,3
nathalie.lagarde@epfl.ch,"Apocalypse Now",02/11/15,5
astrid.faivre@epfl.ch,"Psycho",02/12/03,1
andre.barbier@epfl.ch,"Modern Times",02/12/12,2
dorothee.nguyen-martinez@epfl.ch,"Modern Times",02/12/14,4
suzanne.guyot.du.lucas@epfl.ch,"Once Upon a Time in the West",02/12/15,1
ines.maillard@epfl.ch,"Casablanca",03/01/08,4
margaret.torres@epfl.ch,"Seven Samurai",03/01/16,4
alfred.buisson@epfl.ch,"Goodfellas",03/02/03,1
pierre.de.la.simon@epfl.ch,"Goodfellas",03/02/08,4
francoise.de.la.blot@epfl.ch,"City Lights",03/02/15,4
robert.aubry@epfl.ch,"12 Angry Men",03/03/12,3
joseph.colas@epfl.ch,"Chinatown",03/03/13,1
clemence-therese.joubert@epfl.ch,"Vertigo",03/04/00,4
constance.lucas-buisson@epfl.ch,"Pulp Fiction",03/04/02,5
juliette.turpin@epfl.ch,"The Godfather",03/04/12,3
roger.cohen@epfl.ch,"Singin' in the Rain",03/05/09,1
timothee.vaillant@epfl.ch,"North by Northwest",03/05/11,3
zacharie.dupuy-laroche@epfl.ch,"The Third Man",03/06/03,1
michelle.de.denis@epfl.ch,"Raiders of the Lost Ark",03/06/11,5
guy.regnier@epfl.ch,"Metropolis",03/06/14,4
yves.gomes@epfl.ch,"Double Indemnity",03/06/15,5
monique.joly@epfl.ch,"Once Upon a Time in the West",03/07/05,2
nathalie.legendre.le.gaudin@epfl.ch,"Once Upon a Time in the West",03/07/08,4
marthe.duhamel@epfl.ch,"The Godfather: Part II",03/07/10,1
christine.delorme@epfl.ch,"Raging Bull",03/07/11,2
michelle.de.denis@epfl.ch,"Fanny and Alexander",03/08/00,2
alfred.buisson@epfl.ch,"Lawrence of Arabia",03/09/07,3
claude-lucy.joly@epfl.ch,"The Good, the Bad and the Ugly",03/09/14,1
emmanuelle.francois-delaunay@epfl.ch,"Raging Bull",03/09/15,1
joseph.colas@epfl.ch,"Schindler's List",03/10/08,2
lucas.etienne@epfl.ch,"Ikiru",03/10/14,5
margaux.humbert-lemoine@epfl.ch,"The Godfather: Part II",03/11/02,1
jean-matthieu.launay@epfl.ch,"The Godfather: Part II",03/11/12,1
marianne.bertin@epfl.ch,"Seven Samurai",03/12/02,2
sebastien.costa@epfl.ch,"Once Upon a Time in the West",04/01/08,3
valerie.de.nicolas@epfl.ch,"Schindler's List",04/01/10,2
luc.du.carpentier@epfl.ch,"Sunrise",04/02/14,5
bertrand.camus@epfl.ch,"On the Waterfront",04/02/16,3
thibault.david@epfl.ch,"Chinatown",04/03/03,5
