robert.regnier@epfl.ch,"Lawrence of Arabia",2000-01-06,5
christophe.raynaud@epfl.ch,"Lawrence of Arabia",2000-01-06,4
emile.valette@epfl.ch,"The Godfather",2000-01-07,4
aimee.du.bousquet@epfl.ch,"Pulp Fiction",2000-01-09,2
sebastien.costa@epfl.ch,"Modern Times",2000-01-11,5
robert.aubry@epfl.ch,"Lawrence of Arabia",2000-01-19,1
margot.didier@epfl.ch,"Pulp Fiction",2000-01-29,3
david.nicolas-martin@epfl.ch,"Pulp Fiction",2000-01-29,5
monique.joly@epfl.ch,"12 Angry Men",2000-01-29,4
auguste-jacques.charles@epfl.ch,"Seven Samurai",2000-02-04,5
patricia-mathilde.richard@epfl.ch,"M",2000-02-07,5
roger.cohen@epfl.ch,"Seven Samurai",2000-02-16,5
guillaume.hamel@epfl.ch,"M",2000-02-16,5
christiane.baron@epfl.ch,"The Godfather",2000-02-18,5
timothee.vaillant@epfl.ch,"The Godfather",2000-02-23,4
nathalie.legendre.le.gaudin@epfl.ch,"Sunset Blvd.",2000-02-23,4
elise.guillet-lagarde@epfl.ch,"The Godfather",2000-03-07,1
michel.langlois.du.alves@epfl.ch,"Sunset Blvd.",2000-03-09,3
marthe.letellier.du.lacombe@epfl.ch,"The Godfather: Part II",2000-03-11,1
theophile-thibaut.guillaume@epfl.ch,"Seven Samurai",2000-03-14,3
jeannine.toussaint-masson@epfl.ch,"M",2000-03-15,4
pierre.de.la.simon@epfl.ch,"Pulp Fiction",2000-03-16,5
clemence-therese.joubert@epfl.ch,"12 Angry Men",2000-03-17,5
suzanne.guyot.du.lucas@epfl.ch,"The Godfather: Part II",2000-03-19,5
margaux.hubert.le.aubert@epfl.ch,"Pulp Fiction",2000-03-23,1
donald.trump@whitehouse.gov,"Seven Samurai",2000-03-25,3
juliette.turpin@epfl.ch,"12 Angry Men",2000-03-25,3
valerie.de.nicolas@epfl.ch,"12 Angry Men",2000-03-27,5
theophile.leconte@epfl.ch,"Sunset Blvd.",2000-03-29,4
pierre.de.la.simon@epfl.ch,"The Godfather",2000-04-01,3
louis.rodriguez@epfl.ch,"Seven Samurai",2000-04-01,1
raymond.rousset@epfl.ch,"Pulp Fiction",2000-04-10,4
josette.parent@epfl.ch,"Sunset Blvd.",2000-04-10,2
susanne.jacob-turpin@epfl.ch,"Schindler's List",2000-04-12,3
stephane.allard@epfl.ch,"Pulp Fiction",2000-04-15,4
vincent.guichard@epfl.ch,"Sunset Blvd.",2000-04-15,3
jean-matthieu.launay@epfl.ch,"The Godfather",2000-04-17,3
celine.leroy@epfl.ch,"M",2000-04-19,4
emile.adam-becker@epfl.ch,"The Godfather",2000-05-03,4
thibault.girard@epfl.ch,"12 Angry Men",2000-05-11,4
patricia-mathilde.richard@epfl.ch,"Seven Samurai",2000-05-12,1
luc.du.carpentier@epfl.ch,"Schindler's List",2000-05-15,5
juliette.turpin@epfl.ch,"Seven Samurai",2000-05-19,1
suzanne.guyot.du.lucas@epfl.ch,"Schindler's List",2000-05-19,2
claudine.pierre@epfl.ch,"Schindler's List",2000-05-22,4
valentine.pichon@epfl.ch,"Pulp Fiction",2000-05-30,1
benoit.payet@epfl.ch,"Modern Times",2000-05-30,4
margot.moreno@epfl.ch,"The Godfather",2000-06-06,1
mathilde.paul@epfl.ch,"Seven Samurai",2000-06-06,1
jerome.dufour@epfl.ch,"Schindler's List",2000-06-07,1
christine.delorme@epfl.ch,"Modern Times",2000-06-09,3
aime.remy@epfl.ch,"Sunset Blvd.",2000-06-11,1
marc.mendes@epfl.ch,"Lawrence of Arabia",2000-06-13,1
